=== NAIVE GPU AUTOENCODER TRAINING SUMMARY ===

Total Training Time: 9213.01 seconds
Average Time Per Epoch: 460.65 seconds
Number of Epochs: 20

Epoch	Loss		Time(s)
-----	--------	-------
1	0.078121	458.41
2	0.045858	461.35
3	0.040757	461.33
4	0.035659	460.97
5	0.030961	461.03
6	0.027427	460.95
7	0.025278	460.92
8	0.023885	461.04
9	0.022836	460.82
10	0.021982	461.00
11	0.021251	460.86
12	0.020599	460.80
13	0.019997	460.82
14	0.019430	460.72
15	0.018892	460.40
16	0.018386	460.41
17	0.017907	460.50
18	0.017455	459.97
19	0.017037	460.17
20	0.016653	460.53
