=== GPU OPTIMIZED v2 AUTOENCODER TRAINING SUMMARY ===

Optimizations: Kernel Fusion, Multi-Stream Pipeline

Total Training Time: 3589.32 seconds
Average Time Per Epoch: 179.466 seconds
Number of Epochs: 20

Epoch	Loss		Time(s)
-----	--------	-------
1	0.060139	173.98
2	0.041295	179.56
3	0.035382	179.93
4	0.032324	179.92
5	0.030386	179.78
6	0.029086	180.04
7	0.028389	179.71
8	0.027530	179.87
9	0.027275	179.65
10	0.027107	179.78
11	0.026889	179.83
12	0.026607	179.74
13	0.026265	179.74
14	0.026325	179.62
15	0.026022	179.60
16	0.025674	179.81
17	0.025882	179.48
18	0.025428	179.86
19	0.025363	179.56
20	0.025113	179.87
